target,sampwt,trainFlg,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,Date_Opened
0,42.63862332,1,22,H,7,1442,g,F,0,N,83.40000916,616,306,-99000784,-99000672,1,67,5,3,0,Sun Jun 17 15:00:00 CST 2007
0,28.34083432,2,50,H,50,2000,p,F,3,N,66.70001221,767,1903,2,3,0,100,-99000576,1,0,Tue Feb 06 16:00:00 CST 2007
0,45.90568419,1,45,R,0,2500,f,_,3,N,89.60000038,0,3,-99000784,-99000672,0,-99000712,-99000576,7,0,Fri Aug 18 15:00:00 CST 2006
0,28.34083432,1,20,P,0,700,y,M,1,N,90.70000076,662,111,1,-99000576,0,50,-99000712,1,0,Wed Jan 03 16:00:00 CST 2007
0,28.34083432,1,46,H,4,6400,r,N,3,N,100,754,1706,3,1,0,100,-99000576,7,0,Sun Sep 24 15:00:00 CST 2006
0,47.72128235,1,36,H,0,2400,b,N,3,N,95.30000019,620,1200,-99000784,41,0,91,7,19,0,Sun Nov 19 16:00:00 CST 2006
0,28.34083432,1,25,R,0,2000,f,N,2,N,85.60000038,691,305,63,100,0,100,-99000576,0,-99000672,Wed Jan 24 16:00:00 CST 2007
0,49.78132243,1,33,R,33,2880,b,_,3,N,98.10000038,640,903,2,63,0,100,-99000576,1,0,Tue Aug 15 15:00:00 CST 2006
0,28.34083432,1,33,H,5,4150,y,M,3,N,93.30000019,748,1004,-99000784,30,0,100,-99000576,0,-99000672,Thu Oct 26 15:00:00 CST 2006
0,28.34083432,1,43,R,1,3300,w,N,3,N,83.90000916,767,1508,2,13,0,100,-99000576,4,0,Wed Sep 20 15:00:00 CST 2006
0,28.34083432,1,29,H,1,2500,b,N,3,N,70.5,650,310,-99000784,63,0,100,-99000576,4,0,Tue Jul 18 15:00:00 CST 2006
0,28.34083432,2,48,R,23,11900,e,M,3,N,66.90000916,671,2402,-99000784,75,1,91,67,3,0,Mon Oct 23 15:00:00 CST 2006
0,28.34083432,2,25,R,0,3800,y,N,3,N,89.70000076,608,111,1,84,0,0,-99000712,2,0,Thu Jun 28 15:00:00 CST 2007
0,38.38258583,1,49,R,8,2400,k,F,2,N,97.20000076,563,1109,1,78,1,85,1,6,0,Thu Dec 21 16:00:00 CST 2006
0,49.88336205,2,31,H,2,2200,b,_,3,N,91,665,603,-99000784,62,0,100,-99000576,4,2,Sat Jun 16 15:00:00 CST 2007
0,28.34083432,1,39,H,8,6083,w,N,3,N,93.90000057,717,1001,31,40,0,100,-99000576,3,2,Fri Jul 07 15:00:00 CST 2006
